Gene	Weight	Module	Annotation	Name
LOC_Os07g18610	0.931504133	brown		
LOC_Os02g07900	0.919769159	red		
LOC_Os07g11920	0.940898413	pink		
LOC_Os03g01530	0.930472865	green		
LOC_Os06g34120	0.970591175	blue		
LOC_Os03g12760	0.92147703	tan		
LOC_Os06g14030	0.915622489	red		
LOC_Os11g47600	0.911659932	salmon		
LOC_Os09g39919	0.937254168	pink		
LOC_Os06g45010	0.946269003	red		
LOC_Os09g21370	0.927294882	red		
EVM0049288	0.944264622	blue		
LOC_Os08g32600	0.907116745	green		
LOC_Os09g33710	0.945433985	blue		
LOC_Os02g15178	0.929899224	pink		
LOC_Os09g39540	0.934312751	brown		
LOC_Os05g48160	0.928089154	black		
LOC_Os11g27329	0.916593342	blue		
LOC_Os01g56764	0.973521813	red		
LOC_Os07g41320	0.942405641	blue		
LOC_Os05g51860	0.968705634	red		
LOC_Os03g12230	0.910467574	pink		
LOC_Os06g05980	0.931371893	blue		
LOC_Os09g39530	0.939452059	brown		
LOC_Os10g12390	0.942991458	purple		
LOC_Os05g51570	0.926156323	brown		
LOC_Os12g30500	0.935494366	red		
LOC_Os04g59330	0.967013087	blue		
LOC_Os09g08130	0.917194149	magenta		
LOC_Os06g11490	0.918667065	blue		
LOC_Os10g09870	0.923067136	green		
LOC_Os06g51260	0.946457042	black		
LOC_Os05g04000	0.901840825	magenta		
LOC_Os05g27500	0.941649423	brown		
LOC_Os11g35400	0.911885927	green		
LOC_Os01g21144	0.945503812	salmon		
LOC_Os05g35160	0.959756474	red		
LOC_Os07g39220	0.916001969	blue		
LOC_Os05g45740	0.939291884	brown		
LOC_Os07g44900	0.929392284	black		
LOC_Os08g16660	0.91823684	green		
LOC_Os08g04690	0.905800643	purple		
LOC_Os08g31860	0.944581202	magenta		
LOC_Os03g06360	0.91100455	purple		
LOC_Os03g55070	0.902835741	blue		
LOC_Os06g03710	0.94340357	green		
LOC_Os04g49650	0.944501923	red		
LOC_Os04g50860	0.903422705	turquoise		
LOC_Os07g40940	0.990148574	blue		
LOC_Os05g07820	0.934961516	green		
LOC_Os06g18670	0.972630702	blue		
LOC_Os12g23190	0.934827661	red		
LOC_Os05g04170	0.949948468	blue		
LOC_Os01g39990	0.957100233	midnightblue		
LOC_Os01g15970	0.917638485	green		
LOC_Os01g19290	0.943977345	brown		
